timestamp,temperature,humidity,solar_mw,wind_mw,load_mw,voltage,frequency,hour,day_of_week,month,day_of_year,is_weekend,load_lag_1,load_lag_24,load_lag_168,load_rolling_24,load_rolling_168,solar_lag_1,wind_lag_1
2025-01-08 00:00:00,21.067146726578557,85.16659450623152,0.0,36.14310993117781,100.71400307504447,229.8158914804869,50.0010513971073,0,2,1,8,0,114.34067303317258,95.9265642219999,98.23347964047764,120.3736260104176,119.85335355832144,0.0,25.80341109993882
2025-01-08 01:00:00,19.33990083445671,89.35050281483768,0.0,33.17644007854188,95.12697442532468,230.4418414919953,50.00059639423272,1,2,1,8,0,100.71400307504447,103.85113792064288,103.58953664454704,120.57310262929447,119.86811857876529,0.0,36.14310993117781
2025-01-08 02:00:00,18.10095725614457,86.3788331407005,3.1415299650089903,37.20323376450674,89.58148938387306,230.1601296196514,50.00028241195126,2,2,1,8,0,95.12697442532468,98.62988342416422,93.6733984885889,120.20959581698953,119.81774618460328,0.0,33.17644007854188
2025-01-08 03:00:00,17.17623729272462,86.96206203627368,0.0,39.59820763927964,101.64994443013371,229.86256916311285,49.964896371669546,3,2,1,8,0,89.58148938387306,98.3774700054022,94.78004370328964,119.83257939864406,119.79338958278947,3.1415299650089903,37.20323376450674
2025-01-08 04:00:00,17.319576336461704,84.2733480312726,3.488942641175525,43.18054054349831,95.57420741045692,229.543357637873,50.03935267371708,4,2,1,8,0,101.64994443013371,102.0616134938998,100.18332305713416,119.96893249967457,119.8342818490207,0.0,39.59820763927964
2025-01-08 05:00:00,17.118529738061635,77.82550015153592,0.0,46.06343853558796,107.5858513358753,230.558072735013,49.98003723718847,5,2,1,8,0,95.57420741045692,100.2500472616613,98.04642341495814,119.69862391286443,119.80684663683807,3.488942641175525,43.18054054349831
2025-01-08 06:00:00,16.386163484440132,81.69145406552323,2.1213184803196885,40.20846324433048,113.20481948680543,228.798513400704,49.97987535381268,6,2,1,8,0,107.5858513358753,111.37004481024005,101.99819432844194,120.0042824159567,119.86362894589116,0.0,46.06343853558796
2025-01-08 07:00:00,16.812300468980624,76.40069275300947,12.510339012162708,48.636521956172885,122.9490024035554,229.4688392964188,49.959408020251885,7,2,1,8,0,113.20481948680543,123.88769334122036,113.8989247975604,120.08073136081357,119.93033504802428,2.1213184803196885,40.20846324433048
2025-01-08 08:00:00,15.45473173839972,70.22982977994354,25.42969665680762,39.84916055648833,126.72130444328296,230.5160839037721,49.949799487446434,8,2,1,8,0,122.9490024035554,120.30565472929516,129.81183127069198,120.04161923841086,119.98420455758375,12.510339012162708,48.636521956172885
2025-01-08 09:00:00,17.751826711162565,81.07658422436484,39.7382280553904,43.105686358703096,141.2834475548499,228.7693515686988,49.90763669030409,9,2,1,8,0,126.72130444328296,141.42069900301976,138.292857927011,120.30893797649371,119.96580856456347,25.42969665680762,39.84916055648833
